class,rank,gene_full,gene_symbol,mean_xgb_importance
Missense,1,PPP1R1B (84152),PPP1R1B,0.0031113721430301665
Missense,2,STRA6 (64220),STRA6,0.002936909592244774
Missense,3,CD55 (1604),CD55,0.002721920423209667
Missense,4,GPC4 (2239),GPC4,0.002627333905547857
Missense,5,RIN2 (54453),RIN2,0.0025394511059857903
Missense,6,SLC43A3 (29015),SLC43A3,0.0024498215643689036
Missense,7,SPOCK2 (9806),SPOCK2,0.0021592846169369295
Missense,8,HOOK1 (51361),HOOK1,0.0021514354273676874
Missense,9,SLC12A7 (10723),SLC12A7,0.002139649202581495
Missense,10,RGS16 (6004),RGS16,0.002118243387667462
Missense,11,SIRPA (140885),SIRPA,0.002108641475206241
Missense,12,MFAP2 (4237),MFAP2,0.0020490993978455664
Missense,13,ALDH7A1 (501),ALDH7A1,0.0020466805202886463
Missense,14,RCSD1 (92241),RCSD1,0.0020456427708268167
Missense,15,CYBRD1 (79901),CYBRD1,0.0020017915638163688
Nonsense,1,XAGE1A (653220),XAGE1A,0.0038968922395724802
Nonsense,2,ABCC3 (8714),ABCC3,0.0034815395076293497
Nonsense,3,IFITM2 (10581),IFITM2,0.0032924230210483072
Nonsense,4,ITGB2 (3689),ITGB2,0.002951692114584148
Nonsense,5,PMAIP1 (5366),PMAIP1,0.002879060176201165
Nonsense,6,TCIM (56892),TCIM,0.0028416294371709228
Nonsense,7,VSIR (64115),VSIR,0.002777686296030879
Nonsense,8,CYB5R2 (51700),CYB5R2,0.002767497405875474
Nonsense,9,S100A13 (6284),S100A13,0.0027507529594004154
Nonsense,10,HLA-C (3107),HLA-C,0.0026657808746676894
Nonsense,11,STOM (2040),STOM,0.002633756445720792
Nonsense,12,ARHGEF35 (445328),ARHGEF35,0.0026234130724333226
Nonsense,13,VAV3 (10451),VAV3,0.002607846847968176
Nonsense,14,CSPG4 (1464),CSPG4,0.002574158541392535
Nonsense,15,HMGA2 (8091),HMGA2,0.002568291255738586
Frameshift,1,IRX3 (79191),IRX3,0.007005939586088061
Frameshift,2,CALB1 (793),CALB1,0.006483634887263179
Frameshift,3,PLAC8 (51316),PLAC8,0.0059161726385355
Frameshift,4,SOX9 (6662),SOX9,0.005335054697934538
Frameshift,5,SLC39A4 (55630),SLC39A4,0.005178898724261671
Frameshift,6,INAVA (55765),INAVA,0.0049473718274384735
Frameshift,7,SEMA6B (10501),SEMA6B,0.004724568082019686
Frameshift,8,S100A1 (6271),S100A1,0.004480166360735893
Frameshift,9,ATP10A (57194),ATP10A,0.004424293339252472
Frameshift,10,CFD (1675),CFD,0.0043674265965819355
Frameshift,11,DSG2 (1829),DSG2,0.004346708580851555
Frameshift,12,IGF2BP3 (10643),IGF2BP3,0.00414705767761916
Frameshift,13,CFH (3075),CFH,0.004088870517443865
Frameshift,14,IFITM2 (10581),IFITM2,0.004029571451246739
Frameshift,15,HOXB6 (3216),HOXB6,0.003979278542101383
Splice,1,LHFPL6 (10186),LHFPL6,0.004904691968113184
Splice,2,TMTC1 (83857),TMTC1,0.004484884138219058
Splice,3,NR4A1 (3164),NR4A1,0.004457430518232286
Splice,4,ID3 (3399),ID3,0.004392336681485176
Splice,5,INA (9118),INA,0.004081096919253469
Splice,6,KLF4 (9314),KLF4,0.003969540726393462
Splice,7,LRP3 (4037),LRP3,0.0039050579536706207
Splice,8,IGFBP4 (3487),IGFBP4,0.0038230641279369594
Splice,9,IGFBP3 (3486),IGFBP3,0.0034124735713703556
Splice,10,SAMSN1 (64092),SAMSN1,0.0033583997399546208
Splice,11,OAS1 (4938),OAS1,0.003240242600440979
Splice,12,EMC10 (284361),EMC10,0.0032006003428250553
Splice,13,ZNF532 (55205),ZNF532,0.0031793922185897826
Splice,14,PSG4 (5672),PSG4,0.0031718975864350797
Splice,15,RBP7 (116362),RBP7,0.0030883628176525237
